2026-07-15 12:16:22 | /127.0.0.1:59591 | SET name Ayushi | OK
2026-07-15 12:16:29 | /127.0.0.1:59591 | GET name | Ayushi
2026-07-15 12:16:37 | /127.0.0.1:59591 | SIZE | 2
2026-07-15 12:16:44 | /127.0.0.1:59591 | SAVE | DATABASE_SAVED
2026-07-15 12:16:56 | /127.0.0.1:59591 | EXIT | Connection closed
2026-07-15 12:43:31 | /127.0.0.1:65281 | SET name Ayushi | OK
2026-07-15 12:43:46 | /127.0.0.1:65281 | SAVE | DATABASE_SAVED
2026-07-15 12:43:54 | /127.0.0.1:65281 | EXIT | Connection closed
2026-07-15 12:44:52 | /127.0.0.1:61278 | GET name | Ayushi
2026-07-16 10:10:50 | /127.0.0.1:60163 | SET name Ayushi | OK
2026-07-16 10:11:01 | /127.0.0.1:60163 | GET name | Ayushi
2026-07-16 10:11:10 | /127.0.0.1:60163 | BEGIN | TRANSACTION_STARTED
2026-07-16 10:11:17 | /127.0.0.1:60163 | SET name Tripathi | QUEUED
2026-07-16 10:11:26 | /127.0.0.1:60163 | SET city Pune | QUEUED
2026-07-16 10:11:36 | /127.0.0.1:60163 | GET name | Tripathi
2026-07-16 10:11:43 | /127.0.0.1:60163 | GET city | Pune
2026-07-16 10:11:52 | /127.0.0.1:60163 | ROLLBACK | TRANSACTION_ROLLED_BACK
2026-07-16 10:12:03 | /127.0.0.1:60163 | GET name | Ayushi
2026-07-16 10:12:10 | /127.0.0.1:60163 | GET city | Pune
2026-07-16 10:12:32 | /127.0.0.1:60163 | GET city | Pune
2026-07-16 10:14:44 | /127.0.0.1:60163 | DELETE city | DELETED
2026-07-16 10:14:51 | /127.0.0.1:60163 | GET city | KEY_NOT_FOUND
2026-07-16 10:15:01 | /127.0.0.1:60163 | BEGIN | TRANSACTION_STARTED
2026-07-16 10:15:08 | /127.0.0.1:60163 | SET city Pune | QUEUED
2026-07-16 10:15:15 | /127.0.0.1:60163 | GET city | Pune
2026-07-16 10:15:23 | /127.0.0.1:60163 | ROLLBACK | TRANSACTION_ROLLED_BACK
2026-07-16 10:15:32 | /127.0.0.1:60163 | GET city | KEY_NOT_FOUND
2026-07-16 10:16:20 | /127.0.0.1:60163 | BEGIN | TRANSACTION_STARTED
2026-07-16 10:16:26 | /127.0.0.1:60163 | SET city Pune | QUEUED
2026-07-16 10:16:34 | /127.0.0.1:60163 | SET name Ayushi | QUEUED
2026-07-16 10:16:40 | /127.0.0.1:60163 | GET city | Pune
2026-07-16 10:16:49 | /127.0.0.1:60163 | COMMIT | TRANSACTION_COMMITTED
2026-07-16 10:16:56 | /127.0.0.1:60163 | GET city | Pune
2026-07-16 10:17:04 | /127.0.0.1:60163 | GET name | Ayushi
2026-07-16 10:17:17 | /127.0.0.1:60163 | BEGIN | TRANSACTION_STARTED
2026-07-16 10:17:24 | /127.0.0.1:60163 | DELETE city | QUEUED
2026-07-16 10:17:30 | /127.0.0.1:60163 | GET city | KEY_NOT_FOUND
2026-07-16 10:17:37 | /127.0.0.1:60163 | ROLLBACK | TRANSACTION_ROLLED_BACK
2026-07-16 10:17:45 | /127.0.0.1:60163 | GET city | Pune
2026-07-16 10:17:56 | /127.0.0.1:60163 | BEGIN | TRANSACTION_STARTED
2026-07-16 10:18:02 | /127.0.0.1:60163 | DELETE city | QUEUED
2026-07-16 10:18:09 | /127.0.0.1:60163 | COMMIT | TRANSACTION_COMMITTED
2026-07-16 10:18:18 | /127.0.0.1:60163 | GET city | KEY_NOT_FOUND
